iter	Logloss
0	0.6866914702
1	0.6799365202
2	0.6738428846
3	0.6680859634
4	0.6627849672
5	0.6574705049
6	0.6525222948
7	0.6465210786
8	0.6416780324
9	0.6372583676
10	0.6329435602
11	0.6281130252
12	0.6237509215
13	0.6197439142
14	0.6147562768
15	0.6096570532
16	0.6052269189
17	0.6003175195
18	0.5978460911
19	0.5935053656
20	0.5895939891
21	0.5855598045
22	0.5822564217
23	0.579006326
24	0.5753065066
25	0.5712947803
26	0.5693351929
27	0.5659997286
28	0.5630482067
29	0.5598004129
30	0.556311411
31	0.5535512005
32	0.5518541803
33	0.5501924823
34	0.5477047646
35	0.544856311
36	0.5420356282
37	0.5385182168
38	0.5368457116
39	0.5354072081
40	0.5327014044
41	0.5296953528
42	0.5270888038
43	0.5247800938
44	0.5221795017
45	0.5193076474
46	0.5169240399
47	0.514211414
48	0.5128363182
49	0.5102771112
50	0.5084669171
51	0.5060611082
52	0.5043436573
53	0.5022483179
54	0.5001846578
55	0.4979050746
56	0.495918758
57	0.494743333
58	0.4930487392
59	0.4921582023
60	0.4906267966
61	0.489245694
62	0.4871644347
63	0.486103299
64	0.484433238
65	0.4826297743
66	0.4810409585
67	0.4792392697
68	0.4773649475
69	0.4762678569
70	0.4744331554
71	0.4736898462
72	0.472980722
73	0.4719076945
74	0.4701802284
75	0.4685711449
76	0.4672907319
77	0.4661431629
78	0.4643834529
79	0.4627175307
80	0.4610850827
81	0.4597617632
82	0.4586513639
83	0.4570872399
84	0.4557015083
85	0.4544844542
86	0.4532435347
87	0.452212448
88	0.4508843989
89	0.4496726735
90	0.4488911574
91	0.4479997963
92	0.4475987355
93	0.4467090613
94	0.4456154476
95	0.4450952952
96	0.4442357302
97	0.4429991849
98	0.4425993233
99	0.4417870828
100	0.4411806177
101	0.4405664599
102	0.4399178034
103	0.4391877341
104	0.4380244741
105	0.4370611596
106	0.4362951304
107	0.4353707552
108	0.4349348177
109	0.434400888
110	0.4334971416
111	0.4332368615
112	0.4329809882
113	0.4322912775
114	0.4314638246
115	0.4308797724
116	0.4300903754
117	0.4294949552
118	0.4289893804
119	0.4282095407
120	0.4275544311
121	0.4267789511
122	0.4265317538
123	0.4261023086
124	0.4254156219
125	0.4252252209
126	0.4244637926
127	0.4237800025
128	0.4231284649
129	0.4223803661
130	0.4214324698
131	0.421029973
132	0.4203111476
133	0.4198463503
134	0.4193597001
135	0.4187121015
136	0.417886941
137	0.4174429739
138	0.4170350529
139	0.4168963763
140	0.4167593485
141	0.4161658635
142	0.4155878772
143	0.4149842534
144	0.4146950533
145	0.4143773998
