iter	Passed	Remaining
258	527	1509
259	529	1506
260	530	1502
261	532	1498
262	533	1494
263	534	1490
264	536	1486
265	537	1483
266	539	1480
267	540	1476
268	542	1473
269	543	1470
270	545	1466
271	546	1463
272	548	1460
273	550	1457
274	551	1453
275	553	1450
276	554	1447
277	555	1443
278	558	1442
279	559	1439
280	561	1436
281	562	1432
282	564	1429
283	565	1425
284	567	1422
285	568	1419
286	570	1416
287	571	1412
288	573	1409
289	574	1406
290	575	1402
291	577	1399
292	578	1396
293	580	1393
294	582	1391
295	583	1387
296	584	1383
297	585	1380
298	587	1377
299	589	1374
300	591	1373
301	593	1371
302	595	1369
303	597	1367
304	598	1364
305	600	1362
306	602	1359
307	603	1356
308	605	1353
309	607	1352
310	610	1352
311	612	1349
312	614	1348
313	616	1346
314	617	1342
315	619	1340
316	620	1337
317	622	1335
318	624	1333
319	626	1330
320	628	1329
321	630	1327
322	632	1325
323	634	1323
324	636	1322
325	638	1319
326	640	1317
327	641	1313
328	642	1310
329	644	1308
330	646	1306
331	648	1304
332	650	1302
333	651	1300
334	654	1298
335	655	1295
336	657	1292
337	658	1289
338	659	1286
339	661	1283
340	662	1280
341	663	1277
342	665	1274
343	666	1271
344	668	1268
345	669	1265
346	670	1262
347	672	1260
348	673	1256
349	675	1254
350	676	1250
351	677	1248
352	679	1245
353	681	1243
354	682	1240
355	684	1237
356	685	1235
357	686	1231
358	688	1229
359	690	1227
360	692	1225
361	693	1222
362	695	1220
363	696	1217
364	697	1214
365	699	1212
366	701	1209
367	703	1207
368	706	1207
369	708	1206
370	710	1204
371	712	1202
372	714	1201
373	717	1200
374	719	1199
375	722	1198
376	724	1197
377	726	1195
378	728	1193
379	729	1191
380	731	1188
381	733	1186
382	734	1183
383	736	1181
384	737	1178
385	738	1175
386	740	1172
387	742	1170
388	743	1168
389	744	1165
390	746	1162
391	747	1159
392	749	1157
393	751	1155
394	753	1153
395	754	1151
396	756	1148
397	757	1146
398	758	1142
399	760	1140
400	761	1137
401	763	1135
402	764	1133
403	766	1130
404	767	1127
405	769	1125
406	770	1122
407	772	1120
408	774	1118
409	775	1116
410	776	1113
411	778	1111
412	780	1109
413	782	1107
414	784	1105
415	786	1103
416	788	1102
417	790	1101
418	792	1098
419	794	1096
420	795	1094
421	797	1092
422	798	1089
423	800	1088
424	802	1086
425	804	1083
426	806	1081
427	807	1079
428	809	1076
429	810	1074
430	812	1073
431	814	1071
432	816	1069
433	818	1067
434	820	1065
435	822	1063
436	824	1062
437	826	1060
438	827	1057
439	829	1055
440	831	1053
441	832	1051
442	834	1049
443	837	1049
444	839	1047
445	841	1045
446	844	1044
447	845	1042
448	847	1039
449	848	1037
450	850	1035
451	852	1033
452	854	1031
453	856	1029
454	861	1031
455	864	1031
456	867	1030
457	869	1029
458	871	1027
459	873	1025
460	875	1023
461	877	1021
462	879	1020
463	881	1018
464	883	1016
465	885	1014
466	887	1012
467	889	1011
468	891	1009
469	893	1007
470	895	1005
471	896	1003
472	898	1001
473	900	999
474	902	997
475	904	995
476	905	993
477	907	990
478	909	989
479	911	987
480	913	985
481	915	983
482	916	981
483	918	979
484	920	977
485	921	974
486	923	972
487	925	971
488	927	969
489	930	968
490	931	966
491	933	963
492	934	961
493	936	959
494	937	956
495	939	955
496	941	953
497	943	951
498	945	949
499	947	947
500	949	946
501	952	944
502	953	942
503	955	940
504	957	938
505	959	936
506	961	934
507	963	932
508	965	931
509	966	928
510	968	926
511	970	925
512	972	923
513	973	920
514	975	918
515	977	916
516	978	914
517	980	912
518	982	910
519	984	908
520	987	907
521	989	905
522	990	903
523	992	901
524	994	899
525	996	898
526	998	896
527	999	893
528	1001	891
529	1003	889
530	1005	887
531	1007	886
532	1008	883
533	1010	881
534	1011	879
535	1013	877
536	1015	875
537	1017	873
538	1018	871
539	1021	869
540	1023	868
541	1024	866
542	1026	864
543	1028	862
544	1029	859
545	1031	857
546	1033	855
547	1034	853
548	1036	851
549	1037	849
550	1039	847
551	1041	845
552	1043	843
553	1046	842
554	1048	840
555	1050	838
556	1052	837
557	1054	835
558	1056	833
559	1058	831
560	1060	829
561	1062	827
562	1064	826
563	1066	824
564	1067	821
565	1069	819
566	1070	817
567	1071	815
568	1074	813
569	1076	811
570	1077	809
571	1081	809
572	1083	807
573	1086	806
574	1088	804
575	1090	802
576	1092	800
577	1095	799
578	1097	798
579	1100	796
580	1103	795
581	1106	794
582	1109	793
583	1111	791
584	1114	790
585	1116	789
586	1119	787
587	1121	785
588	1123	783
589	1124	781
590	1126	779
591	1127	777
592	1130	775
593	1131	773
594	1133	771
595	1135	769
596	1137	767
597	1139	766
598	1141	764
599	1143	762
600	1145	760
601	1146	758
602	1148	756
603	1150	754
604	1152	752
605	1153	750
606	1155	748
607	1157	746
608	1159	744
609	1161	742
610	1162	740
611	1164	738
612	1165	735
613	1167	733
614	1168	731
615	1170	729
616	1172	727
617	1173	725
618	1175	723
619	1176	721
620	1178	719
621	1180	717
622	1182	715
623	1184	713
624	1186	711
625	1187	709
626	1189	707
627	1190	705
628	1192	703
629	1194	701
630	1196	699
631	1198	697
632	1199	695
633	1201	693
634	1203	691
635	1204	689
636	1206	687
637	1208	685
638	1210	683
639	1212	681
640	1213	679
641	1214	677
642	1217	675
643	1218	673
644	1219	671
645	1221	669
646	1223	667
647	1225	665
648	1226	663
649	1227	661
650	1230	659
651	1232	657
652	1234	656
653	1236	654
654	1238	652
655	1240	650
656	1241	648
657	1243	646
658	1245	644
659	1247	642
660	1248	640
661	1250	638
662	1251	636
663	1253	634
664	1255	632
665	1256	630
666	1258	628
667	1259	626
668	1261	624
669	1263	622
670	1265	620
671	1266	618
672	1268	616
673	1269	613
674	1270	611
675	1272	610
676	1274	607
677	1275	605
678	1277	603
679	1278	601
680	1280	599
681	1281	597
682	1283	595
683	1284	593
684	1286	591
685	1288	589
686	1289	587
687	1291	585
688	1292	583
689	1294	581
690	1296	579
691	1298	577
692	1299	575
693	1301	573
694	1302	571
695	1304	569
696	1306	567
697	1308	565
698	1310	564
699	1311	562
700	1313	560
701	1314	558
702	1316	556
703	1317	554
704	1318	551
705	1320	549
706	1322	547
707	1323	545
708	1325	543
709	1326	541
710	1327	539
711	1329	537
712	1330	535
713	1334	534
714	1336	532
715	1337	530
716	1339	528
717	1341	526
718	1343	525
719	1345	523
720	1346	521
721	1348	519
722	1349	517
723	1351	515
724	1352	513
725	1354	511
726	1356	509
727	1357	507
728	1359	505
729	1361	503
730	1363	501
731	1365	500
732	1367	498
733	1369	496
734	1371	494
735	1374	492
736	1376	491
737	1377	489
738	1379	487
739	1381	485
740	1383	483
741	1385	481
742	1386	479
743	1388	477
744	1390	475
745	1391	473
746	1393	471
747	1395	470
748	1397	468
749	1398	466
750	1400	464
751	1402	462
752	1404	460
753	1405	458
754	1407	456
755	1409	454
756	1411	452
757	1412	451
758	1414	449
759	1417	447
760	1418	445
761	1420	443
762	1421	441
763	1423	439
764	1425	437
765	1427	436
766	1430	434
767	1432	432
768	1434	430
769	1436	428
770	1437	427
771	1439	425
772	1440	423
773	1441	421
774	1443	419
775	1444	417
776	1446	415
777	1448	413
778	1451	411
779	1455	410
780	1458	408
781	1461	407
782	1464	405
783	1466	404
784	1469	402
785	1471	400
786	1473	398
787	1475	396
788	1477	395
789	1478	393
790	1481	391
791	1483	389
792	1485	387
793	1488	386
794	1491	384
795	1494	383
796	1497	381
797	1500	379
798	1503	378
799	1505	376
800	1507	374
801	1509	372
802	1511	370
803	1513	368
804	1515	367
805	1518	365
806	1520	363
807	1522	361
808	1524	360
809	1527	358
810	1529	356
811	1530	354
812	1532	352
813	1533	350
814	1535	348
815	1537	346
816	1538	344
817	1540	342
818	1542	340
819	1543	338
820	1544	336
821	1546	334
822	1547	332
823	1549	330
824	1550	328
825	1552	327
826	1554	325
827	1556	323
828	1558	321
829	1559	319
830	1561	317
831	1563	315
832	1565	313
833	1567	311
834	1569	310
835	1571	308
836	1572	306
837	1574	304
838	1576	302
839	1578	300
840	1581	298
841	1583	297
842	1585	295
843	1586	293
844	1588	291
845	1590	289
846	1592	287
847	1594	285
848	1596	283
849	1598	282
850	1600	280
851	1602	278
852	1603	276
853	1605	274
854	1606	272
855	1608	270
856	1609	268
857	1611	266
858	1612	264
859	1614	262
860	1616	260
861	1617	259
862	1619	257
863	1621	255
864	1622	253
865	1624	251
866	1626	249
867	1627	247
868	1629	245
869	1631	243
870	1633	241
871	1635	240
872	1637	238
873	1639	236
874	1641	234
875	1643	232
876	1645	230
877	1647	228
878	1649	227
879	1651	225
880	1652	223
881	1654	221
882	1656	219
883	1658	217
884	1660	215
885	1662	213
886	1664	212
887	1666	210
888	1668	208
889	1670	206
890	1672	204
891	1674	202
892	1675	200
893	1676	198
894	1678	196
895	1679	194
896	1681	193
897	1683	191
898	1684	189
899	1686	187
900	1688	185
901	1689	183
902	1690	181
903	1692	179
904	1693	177
905	1695	175
906	1697	174
907	1699	172
908	1700	170
909	1702	168
910	1704	166
911	1705	164
912	1707	162
913	1709	160
914	1711	158
915	1713	157
916	1714	155
917	1716	153
918	1718	151
919	1720	149
920	1721	147
921	1723	145
922	1726	144
923	1728	142
924	1730	140
925	1733	138
926	1735	136
927	1736	134
928	1738	132
929	1740	130
930	1742	129
931	1743	127
932	1745	125
933	1747	123
934	1748	121
935	1750	119
936	1751	117
937	1753	115
938	1754	113
939	1756	112
940	1757	110
941	1759	108
942	1761	106
943	1762	104
944	1764	102
945	1765	100
946	1767	98
947	1768	97
948	1770	95
949	1772	93
950	1774	91
951	1776	89
952	1778	87
953	1780	85
954	1781	83
955	1783	82
956	1785	80
957	1787	78
958	1789	76
959	1791	74
960	1792	72
961	1794	70
962	1796	69
963	1798	67
964	1800	65
965	1802	63
966	1804	61
967	1806	59
968	1808	57
969	1809	55
970	1811	54
971	1813	52
972	1814	50
973	1816	48
974	1817	46
975	1819	44
976	1821	42
977	1823	41
978	1824	39
979	1826	37
980	1827	35
981	1830	33
982	1832	31
983	1835	29
984	1838	27
985	1840	26
986	1843	24
987	1846	22
988	1849	20
989	1852	18
990	1855	16
991	1857	14
992	1859	13
993	1861	11
994	1862	9
995	1864	7
996	1866	5
997	1867	3
998	1869	1
999	1871	0
