               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.057152,            0.015964,            0.024226,             0.22165,             0.80702,             0.51848,             0.19217,            0.052206,           0.0099804,             0.01727,            0.006535,            0.006535,            0.006535
                  37,            0.055895,            0.017737,            0.024693,              0.2655,             0.91813,              0.4925,             0.21378,            0.050746,            0.010183,            0.016686,            0.006436,            0.006436,            0.006436
                  38,            0.058335,            0.016675,             0.02347,              0.2693,             0.77924,             0.38703,             0.14377,            0.060504,           0.0095744,            0.015737,            0.006337,            0.006337,            0.006337
                  39,            0.072441,            0.015227,            0.024105,             0.32979,             0.84622,             0.62993,             0.29256,            0.041386,              0.0103,            0.015228,            0.006238,            0.006238,            0.006238
                  40,             0.04522,            0.018108,            0.022641,             0.32979,             0.84622,             0.62993,             0.29256,            0.041386,              0.0103,            0.015228,            0.006139,            0.006139,            0.006139
                  41,            0.049331,            0.016321,            0.022996,             0.42122,             0.94591,             0.74894,             0.37328,            0.044575,           0.0098276,            0.014139,             0.00604,             0.00604,             0.00604
                  42,            0.053915,             0.01581,            0.022238,             0.43132,             0.94591,              0.7013,             0.27955,            0.051828,           0.0094014,            0.013009,            0.005941,            0.005941,            0.005941
                  43,             0.05798,            0.014191,            0.020947,             0.54842,             0.94591,              0.8617,             0.52104,            0.048512,           0.0093182,            0.012102,            0.005842,            0.005842,            0.005842
                  44,            0.047966,             0.01643,            0.019546,             0.54842,             0.94591,              0.8617,             0.52104,            0.048512,           0.0093182,            0.012102,            0.005743,            0.005743,            0.005743
                  45,            0.054643,            0.013601,            0.019586,             0.54629,             0.97368,             0.79952,             0.40795,            0.047764,           0.0094692,            0.011176,            0.005644,            0.005644,            0.005644
                  46,            0.052935,             0.01602,            0.018395,             0.56779,             0.96763,             0.85104,             0.41563,            0.050147,           0.0094327,            0.010431,            0.005545,            0.005545,            0.005545
                  47,             0.04829,            0.016934,            0.018826,             0.47192,             0.95211,             0.77797,             0.37596,            0.051666,           0.0091578,           0.0098353,            0.005446,            0.005446,            0.005446
                  48,            0.051319,             0.01611,            0.017457,             0.47192,             0.95211,             0.77797,             0.37596,            0.051666,           0.0091578,           0.0098353,            0.005347,            0.005347,            0.005347
                  49,            0.047487,            0.013546,            0.016527,             0.60814,             0.97011,             0.85514,             0.48996,            0.037533,           0.0092803,           0.0093365,            0.005248,            0.005248,            0.005248
                  50,             0.04869,            0.012811,            0.020986,             0.54784,             0.96578,             0.78529,             0.34578,            0.054921,           0.0086259,           0.0089562,            0.005149,            0.005149,            0.005149
                  51,             0.05224,            0.014532,            0.017265,             0.61042,             0.95328,             0.85408,             0.47132,            0.044269,           0.0086122,           0.0095666,             0.00505,             0.00505,             0.00505
                  52,              0.0471,            0.015557,            0.016277,             0.61042,             0.95328,             0.85408,             0.47132,            0.044269,           0.0086122,           0.0095666,            0.004951,            0.004951,            0.004951
                  53,             0.04365,             0.01554,            0.016437,             0.70599,             0.94831,             0.95241,             0.55758,            0.035472,           0.0084037,            0.012147,            0.004852,            0.004852,            0.004852
                  54,            0.046278,            0.013771,            0.014846,             0.69937,              0.8348,             0.88564,             0.42351,            0.047012,           0.0084807,           0.0087606,            0.004753,            0.004753,            0.004753
                  55,            0.046787,            0.014831,            0.017356,              0.8823,             0.97222,             0.96822,             0.52658,            0.037803,           0.0083043,           0.0077221,            0.004654,            0.004654,            0.004654
                  56,            0.039522,            0.012022,            0.016347,              0.8823,             0.97222,             0.96822,             0.52658,            0.037803,           0.0083043,           0.0077221,            0.004555,            0.004555,            0.004555
                  57,            0.046183,            0.011521,            0.014225,             0.60252,                   1,             0.74734,             0.38354,            0.037634,           0.0083705,           0.0071483,            0.004456,            0.004456,            0.004456
                  58,            0.045562,            0.013898,            0.014732,              0.9003,                   1,             0.96625,             0.55175,             0.04197,           0.0080625,           0.0067343,            0.004357,            0.004357,            0.004357
                  59,            0.045079,            0.013101,            0.012727,             0.83208,             0.96496,             0.92427,              0.4604,            0.040648,           0.0079777,           0.0063334,            0.004258,            0.004258,            0.004258
                  60,            0.042352,            0.013822,            0.015446,             0.83208,             0.96496,             0.92427,              0.4604,            0.040648,           0.0079777,           0.0063334,            0.004159,            0.004159,            0.004159
                  61,            0.042059,            0.012957,            0.013848,             0.94923,             0.97368,             0.99262,             0.56709,            0.035028,           0.0078762,           0.0063607,             0.00406,             0.00406,             0.00406
                  62,            0.043035,            0.012189,            0.014292,              0.9243,             0.97368,             0.98207,             0.57533,             0.03318,           0.0077894,           0.0062232,            0.003961,            0.003961,            0.003961
                  63,            0.045111,            0.012166,            0.013361,              0.9718,             0.97368,             0.98696,             0.54977,            0.039742,           0.0077129,            0.006032,            0.003862,            0.003862,            0.003862
                  64,            0.048521,            0.013243,            0.011275,              0.9718,             0.97368,             0.98696,             0.54977,            0.039742,           0.0077129,            0.006032,            0.003763,            0.003763,            0.003763
                  65,            0.037179,            0.013408,            0.011014,             0.93227,                   1,             0.97543,             0.56737,             0.03554,           0.0073675,            0.005851,            0.003664,            0.003664,            0.003664
                  66,            0.036786,            0.012794,            0.011702,             0.97813,             0.94292,              0.9925,             0.47567,            0.031846,           0.0073415,           0.0057638,            0.003565,            0.003565,            0.003565
                  67,            0.039586,            0.012306,            0.012556,             0.94865,             0.99686,             0.98921,             0.63896,            0.034137,           0.0070946,           0.0059016,            0.003466,            0.003466,            0.003466
                  68,            0.036137,            0.013389,            0.011061,             0.94865,             0.99686,             0.98921,             0.63896,            0.034137,           0.0070946,           0.0059016,            0.003367,            0.003367,            0.003367
                  69,            0.031806,            0.011958,            0.012992,             0.98608,             0.98335,               0.995,             0.53462,            0.027872,           0.0071618,           0.0055018,            0.003268,            0.003268,            0.003268
                  70,            0.033491,            0.013992,            0.013033,             0.70547,             0.98039,             0.78015,             0.54627,            0.036552,           0.0070693,           0.0053054,            0.003169,            0.003169,            0.003169
                  71,            0.039617,            0.012411,            0.011123,             0.96223,             0.97368,             0.99159,             0.67177,            0.027552,           0.0069294,           0.0052072,             0.00307,             0.00307,             0.00307
                  72,            0.033833,            0.012247,           0.0089646,             0.96223,             0.97368,             0.99159,             0.67177,            0.027552,           0.0069294,           0.0052072,            0.002971,            0.002971,            0.002971
                  73,            0.031038,            0.013163,           0.0097461,             0.96866,              0.9942,              0.9925,             0.71964,            0.022772,           0.0068378,           0.0051815,            0.002872,            0.002872,            0.002872
                  74,            0.033101,            0.011966,           0.0089684,             0.73333,             0.94737,              0.8286,             0.46014,            0.035531,           0.0068536,           0.0050245,            0.002773,            0.002773,            0.002773
                  75,            0.040965,            0.011802,            0.013497,             0.95457,             0.99101,             0.98632,             0.65884,             0.02711,           0.0066844,            0.004931,            0.002674,            0.002674,            0.002674
                  76,            0.030495,            0.012084,            0.011929,             0.95457,             0.99101,             0.98632,             0.65884,             0.02711,           0.0066844,            0.004931,            0.002575,            0.002575,            0.002575
                  77,            0.029364,            0.011705,            0.013404,             0.99245,                   1,               0.995,             0.71935,            0.021987,           0.0065067,           0.0048833,            0.002476,            0.002476,            0.002476
                  78,            0.032735,            0.010271,           0.0094805,             0.95494,             0.94607,             0.98142,             0.59194,            0.031847,           0.0065946,           0.0047821,            0.002377,            0.002377,            0.002377
                  79,            0.033338,            0.010453,           0.0076948,               0.992,                   1,               0.995,             0.76714,            0.022721,            0.006369,            0.004732,            0.002278,            0.002278,            0.002278
                  80,             0.03116,             0.01174,            0.007643,               0.992,                   1,               0.995,             0.76714,            0.022721,            0.006369,            0.004732,            0.002179,            0.002179,            0.002179
                  81,            0.031694,           0.0098383,            0.010839,             0.95495,             0.98273,               0.995,               0.639,            0.025575,            0.006464,           0.0047049,             0.00208,             0.00208,             0.00208
                  82,            0.032096,            0.011248,            0.011558,             0.99362,                   1,               0.995,             0.80043,            0.024343,           0.0060977,           0.0047938,            0.001981,            0.001981,            0.001981
                  83,            0.027639,            0.009889,           0.0084165,              0.9496,             0.97368,             0.99028,             0.62781,            0.025245,           0.0062503,           0.0048257,            0.001882,            0.001882,            0.001882
                  84,            0.031309,           0.0099192,            0.010954,              0.9496,             0.97368,             0.99028,             0.62781,            0.025245,           0.0062503,           0.0048257,            0.001783,            0.001783,            0.001783
                  85,            0.030195,            0.010635,           0.0084304,             0.99491,                   1,               0.995,             0.80794,            0.023917,           0.0059746,           0.0049383,            0.001684,            0.001684,            0.001684
                  86,            0.029828,            0.011876,             0.01045,             0.99564,                   1,               0.995,             0.79796,            0.020682,           0.0059922,           0.0052055,            0.001585,            0.001585,            0.001585
                  87,            0.025865,           0.0091851,           0.0061714,             0.99552,                   1,               0.995,             0.79929,            0.022696,           0.0058771,           0.0052259,            0.001486,            0.001486,            0.001486
                  88,            0.026676,            0.011925,           0.0083119,             0.99552,                   1,               0.995,             0.79929,            0.022696,           0.0058771,           0.0052259,            0.001387,            0.001387,            0.001387
                  89,            0.026353,           0.0092229,           0.0084395,             0.99563,                   1,               0.995,             0.78528,            0.018235,           0.0058006,           0.0052848,            0.001288,            0.001288,            0.001288
                  90,            0.023593,            0.010793,           0.0073912,             0.99559,                   1,               0.995,             0.73145,            0.022527,           0.0058938,           0.0053535,            0.001189,            0.001189,            0.001189
                  91,            0.025762,           0.0097748,           0.0093312,             0.99515,                   1,               0.995,             0.78482,            0.016504,           0.0057445,           0.0049773,             0.00109,             0.00109,             0.00109
                  92,             0.02773,           0.0096151,            0.011481,             0.99515,                   1,               0.995,             0.78482,            0.016504,           0.0057445,           0.0049773,            0.000991,            0.000991,            0.000991
                  93,            0.025285,            0.011313,            0.010382,              0.9953,                   1,               0.995,             0.82699,            0.016641,           0.0057155,           0.0047279,            0.000892,            0.000892,            0.000892
                  94,            0.024176,             0.01171,           0.0081175,             0.99508,                   1,               0.995,             0.81972,            0.016688,           0.0057623,           0.0045313,            0.000793,            0.000793,            0.000793
                  95,            0.023829,            0.010173,           0.0086708,             0.99525,                   1,               0.995,             0.84807,            0.015762,           0.0057135,           0.0044528,            0.000694,            0.000694,            0.000694
                  96,            0.024997,            0.009647,           0.0086932,             0.99525,                   1,               0.995,             0.84807,            0.015762,           0.0057135,           0.0044528,            0.000595,            0.000595,            0.000595
                  97,            0.022937,            0.010241,           0.0097198,             0.99539,                   1,               0.995,             0.84452,            0.015217,           0.0056969,           0.0043965,            0.000496,            0.000496,            0.000496
                  98,             0.02141,            0.012756,           0.0082886,             0.99544,                   1,               0.995,             0.82214,              0.0155,           0.0056993,           0.0043614,            0.000397,            0.000397,            0.000397
                  99,            0.024439,             0.01219,           0.0082084,             0.99538,                   1,               0.995,             0.84605,             0.01497,           0.0056534,           0.0043419,            0.000298,            0.000298,            0.000298
