[2023-10-21 15:06:47,101: INFO: main: >>>>>>>>>end of Data ingestion stage<<<<<<<<<<<<]
[2023-10-21 15:21:18,901: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 15:21:18,903: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 15:21:18,906: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 15:21:18,908: INFO: common: created directory at artifacts]
[2023-10-21 15:21:18,910: INFO: common: created directory at artifacts/data_validation]
[2023-10-21 15:22:18,721: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 15:22:18,723: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 15:22:18,725: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 15:22:18,727: INFO: common: created directory at artifacts]
[2023-10-21 15:22:18,728: INFO: common: created directory at artifacts/data_validation]
[2023-10-21 16:00:03,564: INFO: main: >>>>>>>>>>>< stage Data ingestion stage stared <<<<<<<<<]
[2023-10-21 16:00:03,564: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 16:00:03,564: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 16:00:03,580: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 16:00:03,580: INFO: common: created directory at artifacts]
[2023-10-21 16:00:03,583: INFO: common: created directory at artifacts/data_ingestion]
[2023-10-21 16:00:03,585: INFO: data_ingestion: File copied from data\nba_logreg.csv to artifacts/data_ingestion/data.csv]
[2023-10-21 16:00:03,585: INFO: main: >>>>>>>>>end of Data ingestion stage<<<<<<<<<<<<]
[2023-10-21 16:00:03,586: INFO: main: >>>>>>>>>>>< stage Data Validation stage stared <<<<<<<<<]
[2023-10-21 16:00:03,589: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 16:00:03,589: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 16:00:03,592: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 16:00:03,592: INFO: common: created directory at artifacts]
[2023-10-21 16:00:03,592: INFO: common: created directory at artifacts/data_validation]
[2023-10-21 16:00:03,603: INFO: main: >>>>>>>>>end of Data Validation stage<<<<<<<<<<<<]
[2023-10-21 16:39:55,827: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 16:39:55,830: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 16:39:55,833: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 16:39:55,835: INFO: common: created directory at artifacts]
[2023-10-21 16:39:55,837: INFO: common: created directory at artifacts/data_transformation]
[2023-10-21 16:39:55,942: INFO: 288601790: Splited data into training and test sets]
[2023-10-21 16:39:55,943: INFO: 288601790: (614, 20)]
[2023-10-21 16:39:55,945: INFO: 288601790: (268, 20)]
[2023-10-21 16:50:24,243: INFO: main: >>>>>>>>>>>< stage Data ingestion stage stared <<<<<<<<<]
[2023-10-21 16:50:24,245: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 16:50:24,247: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 16:50:24,247: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 16:50:24,249: INFO: common: created directory at artifacts]
[2023-10-21 16:50:24,250: INFO: common: created directory at artifacts/data_ingestion]
[2023-10-21 16:50:24,252: INFO: data_ingestion: File copied from data\nba_logreg.csv to artifacts/data_ingestion/data.csv]
[2023-10-21 16:50:24,253: INFO: main: >>>>>>>>>end of Data ingestion stage<<<<<<<<<<<<]
[2023-10-21 16:50:24,253: INFO: main: >>>>>>>>>>>< stage Data Validation stage stared <<<<<<<<<]
[2023-10-21 16:50:24,257: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 16:50:24,258: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-21 16:50:24,262: INFO: common: yaml file: schema.yaml loaded successfully]
[2023-10-21 16:50:24,263: INFO: common: created directory at artifacts]
[2023-10-21 16:50:24,264: INFO: common: created directory at artifacts/data_validation]
[2023-10-21 16:50:24,290: INFO: main: >>>>>>>>>end of Data Validation stage<<<<<<<<<<<<]
[2023-10-21 16:50:24,291: INFO: main: >>>>>>>>> stage Data Transformation stage started<<<<<<<<<<<]
[2023-10-21 16:50:24,296: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-10-21 16:50:24,298: INFO: common: yaml file: params.yaml loaded successfully]
